timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 07:51:05.584, 3, NVIDIA RTX 6000 Ada Generation, 83 %, 26384 MiB, 49140 MiB, 271.87 W, 75
2026/08/28 07:51:15.585, 0, NVIDIA RTX 6000 Ada Generation, 89 %, 26410 MiB, 49140 MiB, 267.64 W, 66
2026/08/28 07:51:15.585, 1, NVIDIA RTX 6000 Ada Generation, 85 %, 26536 MiB, 49140 MiB, 255.66 W, 73
2026/08/28 07:51:15.585, 2, NVIDIA RTX 6000 Ada Generation, 85 %, 26428 MiB, 49140 MiB, 290.12 W, 74
2026/08/28 07:51:15.585, 3, NVIDIA RTX 6000 Ada Generation, 78 %, 26384 MiB, 49140 MiB, 264.99 W, 76
2026/08/28 07:51:25.586, 0, NVIDIA RTX 6000 Ada Generation, 85 %, 26510 MiB, 49140 MiB, 270.49 W, 67
2026/08/28 07:51:25.586, 1, NVIDIA RTX 6000 Ada Generation, 89 %, 26576 MiB, 49140 MiB, 270.85 W, 75
2026/08/28 07:51:25.587, 2, NVIDIA RTX 6000 Ada Generation, 77 %, 26428 MiB, 49140 MiB, 271.29 W, 73
2026/08/28 07:51:25.587, 3, NVIDIA RTX 6000 Ada Generation, 85 %, 26384 MiB, 49140 MiB, 277.98 W, 77
2026/08/28 07:51:35.587, 0, NVIDIA RTX 6000 Ada Generation, 75 %, 26510 MiB, 49140 MiB, 253.02 W, 68
2026/08/28 07:51:35.588, 1, NVIDIA RTX 6000 Ada Generation, 77 %, 26576 MiB, 49140 MiB, 256.34 W, 75
2026/08/28 07:51:35.588, 2, NVIDIA RTX 6000 Ada Generation, 79 %, 26428 MiB, 49140 MiB, 272.55 W, 74
2026/08/28 07:51:35.588, 3, NVIDIA RTX 6000 Ada Generation, 80 %, 26384 MiB, 49140 MiB, 258.70 W, 78
2026/08/28 07:51:45.589, 0, NVIDIA RTX 6000 Ada Generation, 88 %, 26510 MiB, 49140 MiB, 270.66 W, 69
2026/08/28 07:51:45.589, 1, NVIDIA RTX 6000 Ada Generation, 83 %, 26576 MiB, 49140 MiB, 268.52 W, 76
2026/08/28 07:51:45.589, 2, NVIDIA RTX 6000 Ada Generation, 83 %, 26428 MiB, 49140 MiB, 290.52 W, 74
2026/08/28 07:51:45.589, 3, NVIDIA RTX 6000 Ada Generation, 77 %, 26444 MiB, 49140 MiB, 271.23 W, 79
2026/08/28 07:51:55.590, 0, NVIDIA RTX 6000 Ada Generation, 83 %, 26510 MiB, 49140 MiB, 271.12 W, 70
2026/08/28 07:51:55.590, 1, NVIDIA RTX 6000 Ada Generation, 76 %, 26576 MiB, 49140 MiB, 253.74 W, 77
2026/08/28 07:51:55.590, 2, NVIDIA RTX 6000 Ada Generation, 80 %, 26428 MiB, 49140 MiB, 269.20 W, 74
2026/08/28 07:51:55.590, 3, NVIDIA RTX 6000 Ada Generation, 80 %, 26478 MiB, 49140 MiB, 264.79 W, 79
2026/08/28 07:52:05.591, 0, NVIDIA RTX 6000 Ada Generation, 84 %, 26510 MiB, 49140 MiB, 256.76 W, 69
2026/08/28 07:52:05.591, 1, NVIDIA RTX 6000 Ada Generation, 84 %, 26576 MiB, 49140 MiB, 275.05 W, 78
2026/08/28 07:52:05.591, 2, NVIDIA RTX 6000 Ada Generation, 83 %, 26428 MiB, 49140 MiB, 272.86 W, 74
2026/08/28 07:52:05.591, 3, NVIDIA RTX 6000 Ada Generation, 82 %, 26478 MiB, 49140 MiB, 262.36 W, 80
