timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 09:16:09.594, 0, NVIDIA RTX 6000 Ada Generation, 95 %, 26266 MiB, 49140 MiB, 290.40 W, 77
2026/08/28 09:16:09.595, 1, NVIDIA RTX 6000 Ada Generation, 84 %, 26364 MiB, 49140 MiB, 267.97 W, 85
2026/08/28 09:16:09.595, 2, NVIDIA RTX 6000 Ada Generation, 85 %, 26098 MiB, 49140 MiB, 277.01 W, 76
2026/08/28 09:16:09.595, 3, NVIDIA RTX 6000 Ada Generation, 85 %, 26026 MiB, 49140 MiB, 275.43 W, 81
2026/08/28 09:16:19.596, 0, NVIDIA RTX 6000 Ada Generation, 95 %, 26314 MiB, 49140 MiB, 297.97 W, 78
2026/08/28 09:16:19.596, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 26364 MiB, 49140 MiB, 292.56 W, 86
2026/08/28 09:16:19.596, 2, NVIDIA RTX 6000 Ada Generation, 83 %, 26098 MiB, 49140 MiB, 276.87 W, 76
2026/08/28 09:16:19.596, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 26026 MiB, 49140 MiB, 289.17 W, 81
2026/08/28 09:16:29.597, 0, NVIDIA RTX 6000 Ada Generation, 87 %, 26314 MiB, 49140 MiB, 281.90 W, 77
2026/08/28 09:16:29.597, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 26364 MiB, 49140 MiB, 284.03 W, 86
2026/08/28 09:16:29.597, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 26098 MiB, 49140 MiB, 289.69 W, 77
2026/08/28 09:16:29.598, 3, NVIDIA RTX 6000 Ada Generation, 83 %, 26026 MiB, 49140 MiB, 273.53 W, 81
2026/08/28 09:16:39.598, 0, NVIDIA RTX 6000 Ada Generation, 87 %, 26314 MiB, 49140 MiB, 274.90 W, 77
2026/08/28 09:16:39.599, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 26364 MiB, 49140 MiB, 276.83 W, 85
2026/08/28 09:16:39.599, 2, NVIDIA RTX 6000 Ada Generation, 86 %, 26098 MiB, 49140 MiB, 281.20 W, 77
2026/08/28 09:16:39.599, 3, NVIDIA RTX 6000 Ada Generation, 82 %, 26030 MiB, 49140 MiB, 284.27 W, 80
2026/08/28 09:16:49.600, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 26314 MiB, 49140 MiB, 289.93 W, 77
2026/08/28 09:16:49.600, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 26364 MiB, 49140 MiB, 286.19 W, 86
2026/08/28 09:16:49.600, 2, NVIDIA RTX 6000 Ada Generation, 84 %, 26098 MiB, 49140 MiB, 277.98 W, 77
2026/08/28 09:16:49.600, 3, NVIDIA RTX 6000 Ada Generation, 84 %, 26030 MiB, 49140 MiB, 269.15 W, 80
2026/08/28 09:16:59.601, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 26314 MiB, 49140 MiB, 285.02 W, 77
2026/08/28 09:16:59.601, 1, NVIDIA RTX 6000 Ada Generation, 83 %, 26364 MiB, 49140 MiB, 270.27 W, 86
2026/08/28 09:16:59.601, 2, NVIDIA RTX 6000 Ada Generation, 86 %, 26098 MiB, 49140 MiB, 278.03 W, 77
2026/08/28 09:16:59.601, 3, NVIDIA RTX 6000 Ada Generation, 83 %, 26030 MiB, 49140 MiB, 264.91 W, 80
2026/08/28 09:17:09.602, 0, NVIDIA RTX 6000 Ada Generation, 83 %, 26314 MiB, 49140 MiB, 269.55 W, 77
2026/08/28 09:17:09.602, 1, NVIDIA RTX 6000 Ada Generation, 85 %, 26364 MiB, 49140 MiB, 271.51 W, 85
2026/08/28 09:17:09.602, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 26098 MiB, 49140 MiB, 292.39 W, 77
2026/08/28 09:17:09.602, 3, NVIDIA RTX 6000 Ada Generation, 85 %, 26030 MiB, 49140 MiB, 269.93 W, 80
2026/08/28 09:17:19.603, 0, NVIDIA RTX 6000 Ada Generation, 87 %, 26314 MiB, 49140 MiB, 263.18 W, 77
2026/08/28 09:17:19.603, 1, NVIDIA RTX 6000 Ada Generation, 88 %, 26364 MiB, 49140 MiB, 275.33 W, 86
2026/08/28 09:17:19.603, 2, NVIDIA RTX 6000 Ada Generation, 85 %, 26098 MiB, 49140 MiB, 285.81 W, 77
2026/08/28 09:17:19.603, 3, NVIDIA RTX 6000 Ada Generation, 84 %, 26030 MiB, 49140 MiB, 268.56 W, 80
2026/08/28 09:17:29.604, 0, NVIDIA RTX 6000 Ada Generation, 95 %, 26314 MiB, 49140 MiB, 288.47 W, 77
2026/08/28 09:17:29.604, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 26364 MiB, 49140 MiB, 291.97 W, 86
2026/08/28 09:17:29.604, 2, NVIDIA RTX 6000 Ada Generation, 85 %, 26098 MiB, 49140 MiB, 276.28 W, 77
2026/08/28 09:17:29.604, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 26030 MiB, 49140 MiB, 277.15 W, 80
2026/08/28 09:17:39.605, 0, NVIDIA RTX 6000 Ada Generation, 86 %, 26314 MiB, 49140 MiB, 274.04 W, 77
2026/08/28 09:17:39.606, 1, NVIDIA RTX 6000 Ada Generation, 84 %, 26364 MiB, 49140 MiB, 270.06 W, 85
2026/08/28 09:17:39.606, 2, NVIDIA RTX 6000 Ada Generation, 94 %, 26098 MiB, 49140 MiB, 292.86 W, 77
2026/08/28 09:17:39.606, 3, NVIDIA RTX 6000 Ada Generation, 85 %, 26030 MiB, 49140 MiB, 280.03 W, 80
2026/08/28 09:17:49.607, 0, NVIDIA RTX 6000 Ada Generation, 84 %, 26318 MiB, 49140 MiB, 269.53 W, 76
2026/08/28 09:17:49.607, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 26364 MiB, 49140 MiB, 273.72 W, 86
