Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.7,17200768,2,8600384.0,8600384.0,7001376,10199392,2261338.8,cuLibraryLoadData
31.3,8444096,32,263878.0,3032.0,2592,4804672,1032183.9,cudaLaunchKernel
4.7,1267696,1,1267696.0,1267696.0,1267696,1267696,0.0,cudaHostAlloc
0.1,28016,4,7004.0,4360.0,2768,16528,6393.9,cudaMemcpyAsync
0.1,24064,4,6016.0,3832.0,3680,12720,4470.0,cudaStreamSynchronize
0.1,15808,4,3952.0,3184.0,1152,8288,3455.5,cudaDeviceSynchronize
0.0,8144,32,254.5,48.0,32,4576,798.5,cuKernelGetName
0.0,4592,1,4592.0,4592.0,4592,4592,0.0,cuProfilerStart
0.0,1696,2,848.0,848.0,752,944,135.8,cuLibraryGetKernel
