Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:native,PushPop,175456,375296,1,175456.0,175456.0,175456,175456,0.0,6,6.0,0.0,3.0
:compact_linear,PushPop,161152,289856,1,161152.0,161152.0,161152,161152,0.0,6,6.0,0.0,3.0
:candidate,PushPop,49984,68112,1,49984.0,49984.0,49984,49984,0.0,6,6.0,0.0,3.0
:reference,PushPop,49920,64608,1,49920.0,49920.0,49920,49920,0.0,6,6.0,0.0,3.0
:draft,PushPop,7296,41552,4,1824.0,1824.0,1664,1984,167.3,4,1.0,1.0,0.0
:target_prefill,PushPop,7264,172000,4,1816.0,1728.0,1696,2112,197.9,4,1.0,1.0,0.0
:target_decode,PushPop,6816,34576,4,1704.0,1696.0,1696,1728,16.0,4,1.0,1.0,0.0
