-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.892ms         1.63%      38.892ms      38.892ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.890ms         1.63%      38.890ms      38.890ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.888ms         1.63%      38.888ms      38.888ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.887ms         1.63%      38.887ms      38.887ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.875ms         1.63%      38.875ms      38.875ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.865ms         1.63%      38.865ms      38.865ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.863ms         1.63%      38.863ms      38.863ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.840ms         1.63%      38.840ms      38.840ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.838ms         1.63%      38.838ms      38.838ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.830ms         1.63%      38.830ms      38.830ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.810ms         1.63%      38.810ms      38.810ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.802ms         1.63%      38.802ms      38.802ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.785ms         1.63%      38.785ms      38.785ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.764ms         1.63%      38.764ms      38.764ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.761ms         1.63%      38.761ms      38.761ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.760ms         1.63%      38.760ms      38.760ms           0 B           0 B           0 B           0 B             1  
